Column Name,Question,Values,,
DG6,DG6.How are you related to the household head? ,"1=Myself
2=Spouse
3=Son/Daughter
4=Father/Mother
5=Sister/Brother
6=Grandchild
7=Other relative
9=Other non-relative
99=DK",,
DG12B_1,DG12B.1. What type of school do the children go to? (boys) Free school – Where you do not need to pay a fee,"1=Yes
2=No",,
DG12B_2,DG12B.2. What type of school do the children go to? (boys) Pay a fee for the school,"1=Yes
2=No",,
DG12C_1,DG12C.1. What type of school do the children go to? (girls) Free school – Where you do not need to pay a fee,"1=Yes
2=No",,
DG12C_2,DG12C.2. What type of school do the children go to? (girls) Pay a fee for the school,"1=Yes
2=No",,
DG13_1,"DG13.1. Have you ever experienced the following problems when trying to pay school fees? Lack of funds, could not pay at all","1=Yes
2=No",,
DG13_2,"DG13.2. Have you ever experienced the following problems when trying to pay school fees? Lack of funds, could only pay a portion","1=Yes
2=No",,
DG13_3,DG13.3. Have you ever experienced the following problems when trying to pay school fees? Bank issues (high fees or long lines),"1=Yes
2=No",,
DG13_4,DG13.4. Have you ever experienced the following problems when trying to pay school fees? Had to deliver cash but failed because of long distance to school,"1=Yes
2=No",,
DG13_5,DG13.5. Have you ever experienced the following problems when trying to pay school fees? Don’t know the full amount,"1=Yes
2=No",,
DG13_96,DG13.96. Have you ever experienced the following problems when trying to pay school fees? Other (Specify) ,"1=Yes
2=No",,
DG13_7,DG13.7. Have you ever experienced the following problems when trying to pay school fees? Never faced any problem,"1=Yes
2=No",,
DG14,DG14. What is the main reason not all school-age children are enrolled in school?,"1=We don’t have enough money to pay school fees
2=A child could not pass to the next grade level
3=A child lost interest, does not want to attend
4=A child is sick – physically or mentally disabled
5=A child had to come home to help with household chores, taking care of younger siblings
6=A child needed to help with the household’s farm
7=A child had to go to work to  help the household earn income
96=Other (Specify)
9=No particular reason",,
DL0,DL0. Who is the main income earner in your household?,"1=Myself
2=Somebody else",,
DL1,"DL1. In the past 12 months, were you mainly...?","1=Working full-time for a regular salary
2=Working part-time for a regular salary
3=Working occasionally, irregular pay (whenever the work is available)
4=Working per season (e.g., only during the harvest season)
5=Self-employed, working for yourself
6=Not working but looking for a job
7=Housewife or stay-at-home husband doing household chores
8=Full-time student
9=Not working because of retirement
10=Not working because of sickness, disability, etc.
96=Other(Specify)
99=DK",,
DL2,"DL2. What is your primary job (i.e., the job where you spend most of your time)?","1=Farmer
2=Farm worker
3=Public or health service worker(non-professional)
4=Professional (i.e., doctor, teacher, nurse, specify)
5=Clerk
6=Carpenter/mason
7=Mechanic
8=Electrician
9=Cleaner/ house help
10=Waiter/cook
11=Driver, including personal driver, taxi, bus, rickshaw puller and autorickshaw
12=Tailor
13=Secretary
14=Manager
15=Watchman/Security guard/caretaker
16=Messenger/courier
17=Policeman/police force 
18=Conductor
19=Factory employee
20=Shop owner
21=Salesperson in a store
22=Street vendor/hawker
23=Business owner (specify)
24=Salonist
25=Money lender
26=Landlord/ Landlady
27=Miner(gold,sand,coal,oil,etc.)
28=Military
29=Occasional worker with no occupation
30=Manual labor 
96=Other (Specify)
32=Refused/ prefer not to say",,
DL3,DL3. Do you have a secondary job/jobs?,"1=Yes
2=No",,
DL4_1,DL4.1. Please tell me in which of the following ways you got money in the past 12 months? Government student scholarship (either directly or through schools),"1=Yes
2=No",,
DL4_2,DL4.2. Please tell me in which of the following ways you got money in the past 12 months? Government pension  ,"1=Yes
2=No",,
DL4_3,"DL4.3. Please tell me in which of the following ways you got money in the past 12 months? Other government benefits, such as NREGA, MGNREGA, MahamayaYojana, etc","1=Yes
2=No",,
DL4_4,DL4.4. Please tell me in which of the following ways you got money in the past 12 months? Pension that you receive from ex-employer or scheme  ,"1=Yes
2=No",,
DL4_5,DL4.5. Please tell me in which of the following ways you got money in the past 12 months? Money from family/friends / spouse for regular support or emergencies,"1=Yes
2=No",,
DL4_6,DL4.6. Please tell me in which of the following ways you got money in the past 12 months? Grow a crop and sell it,"1=Yes
2=No",,
DL4_7,DL4.7. Please tell me in which of the following ways you got money in the past 12 months? Rear livestock/poultry/fish/bees and sell it or sell by-products of it,"1=Yes
2=No",,
DL4_8,"DL4.8. Please tell me in which of the following ways you got money in the past 12 months? Buy/get agricultural products from farmers and process it/change it to another form (e.g., maize to flour)","1=Yes
2=No",,
DL4_9,DL4.9. Please tell me in which of the following ways you got money in the past 12 months? Buy/get agricultural products from farmers/processors and sell it,"1=Yes
2=No",,
DL4_10,"DL4.10. Please tell me in which of the following ways you got money in the past 12 months? Sell something to farmers for the purpose of farming (e.g., seeds, fertilizers, equipment)","1=Yes
2=No",,
DL4_11,"DL4.11. Please tell me in which of the following ways you got money in the past 12 months? Sell something to processors of farming products for the purpose of processing (packaging, machinery, chemicals)","1=Yes
2=No",,
DL4_12,DL4.12. Please tell me in which of the following ways you got money in the past 12 months? Make/manufacture something that is used for farming purposes or processing of farming products,"1=Yes
2=No",,
DL4_13,"DL4.13. Please tell me in which of the following ways you got money in the past 12 months? Provide a service to farmers or processors of farming products (e.g., renting ploughs, tractors, other equipment)","1=Yes
2=No",,
DL4_14,DL4.14. Please tell me in which of the following ways you got money in the past 12 months? Rent land to farmers for farming purposes,"1=Yes
2=No",,
DL4_15,"DL4.15. Please tell me in which of the following ways you got money in the past 12 months? Fish farming /Fishing – aquaculture, fishermen   ","1=Yes
2=No",,
DL4_16,DL4.16. Please tell me in which of the following ways you got money in the past 12 months? Employed on other people’s farm ,"1=Yes
2=No",,
DL4_17,DL4.17. Please tell me in which of the following ways you got money in the past 12 months? Employed to do other people’s domestic chores ,"1=Yes
2=No",,
DL4_18,DL4.18. Please tell me in which of the following ways you got money in the past 12 months? Employed by the government ,"1=Yes
2=No",,
DL4_19,DL4.19. Please tell me in which of the following ways you got money in the past 12 months? Employed in private sector – office/business/factory ,"1=Yes
2=No",,
DL4_20,DL4.20. Please tell me in which of the following ways you got money in the past 12 months? Running your own business  ,"1=Yes
2=No",,
DL4_21,DL4.21. Please tell me in which of the following ways you got money in the past 12 months? Subletting of house/rooms,"1=Yes
2=No",,
DL4_22,"DL4.22. Please tell me in which of the following ways you got money in the past 12 months? Earning money from investments (e.g., shares, stocks)","1=Yes
2=No",,
DL4_23,DL4.23. Please tell me in which of the following ways you got money in the past 12 months? Aid agency/NGO/government assistance in form of food or grants,"1=Yes
2=No",,
DL4_24,DL4.96. Please tell me in which of the following ways you got money in the past 12 months? Other (Specify),"1=Yes
2=No",,
DL4_25,DL4.99. Please tell me in which of the following ways you got money in the past 12 months? DK,"1=Yes
2=No",,
DL5,DL5. You have said that these are the ways you got money in the past 12 months. Which of these brought you the most money?,"1=Government student scholarship (either directly or through schools)
2=Government pension  
3=Other government benefits, such as NREGA, MGNREGA, MahamayaYojana, etc
4=Pension that you receive from ex-employer or scheme  
5=Money from family/friends / spouse for regular support or emergencies
6=Grow a crop and sell it
7=Rear livestock/poultry/fish/bees and sell it or sell by-products of it
8=Buy/get agricultural products from farmers and process it/change it to another form (e.g., maize to flour)
9=Buy/get agricultural products from farmers/processors and sell it
10=Sell something to farmers for the purpose of farming (e.g., seeds, fertilizers, equipment)
11=Sell something to processors of farming products for the purpose of processing (packaging, machinery, chemicals)
12=Make/manufacture something that is used for farming purposes or processing of farming products
13=Provide a service to farmers or processors of farming products (e.g., renting ploughs, tractors, other equipment)
14=Rent land to farmers for farming purposes
15=Fish farming /Fishing – aquaculture, fishermen   
16=Employed on other people’s farm 
17=Employed to do other people’s domestic chores 
18=Employed by the government 
19=Employed in private sector – office/business/factory 
20=Running your own business  
21=Subletting of house/rooms
22=Earning money from investments (e.g., shares, stocks)
23=Aid agency/NGO/government assistance in form of food or grants
96=Other (Specify)
99=DK",,
DL6,DL6.Does anyone in your households own a farm/farmland? ,"1=Yes
2=No",,
DL7,DL7. Do you work on the farm yourself?  ,"1=Yes
2=No",,
DL12,DL12.What was the main reason you moved?,"1=Natural disaster (hurricane, earthquake or flood) destroyed my home
2=Could not afford rent, moved to a cheaper place
3=Started making more money and moved to a better place
4=Relocated for work
5=Relocated to take care of parents/children
6=Went bankrupt and the bank took my house
7=Violence in my community
8=Evicted, land reclaimed by government or owner (for settlement housing)
9=Bought my own house and moved into it
96=Other (Specify)
11=No specific reason",,
DL13,DL13.You said you relocated for work. Was that a move for a permanent job or did you relocate for a seasonal/temporary job?,"1=Permanent job
2=Seasonal/temporary job
99=DK",,
DL15,DL15.What is the highest grade that the female head/spouse completed? ,"1=Primary or below, or not literate
2=Middle
3=Secondary or higher 
4=No female head/spouse",,
DL16,DL16.Does the household possess a refrigerator? ,"1=No
2=Yes",,
DL17,DL17.Does the household possess a stove/gas burner?,"1=No
2=Yes",,
DL18,DL18.Does the household possess a pressure cooker/pressure pan? ,"1=No
2=Yes",,
DL19,DL19.Does the household possess a television? ,"1=No
2=Yes",,
DL20,DL20.Does the household possess an electric fan? ,"1=No
2=Yes",,
DL21,DL21.Does the household possess an almirah/dressing table?,"1=No
2=Yes",,
DL22,"DL22.Does the household possess a chair, stool, bench, or table?","1=No
2=Yes",,
DL23,"DL23.Does the household possess a motorcycle, scooter, motor car, or jeep?","1=No
2=Yes",,
DL24,DL24.Please look at this card and tell me which answer best reflects your family's financial situation?,"1=We don't have enough money for food
2=We have enough money for food, but buying clothes is difficult
3=We have enough money for food and clothes, and can save a bit, but not enough to buy expensive goods such as a TV set or a refrigerator
4=We can afford to buy certain expensive goods such as a TV set or a refrigerator
5=We can afford to buy whatever we want
9=None
99=DK",,
DL25_1,"DL25.1.In the last 6 months, has your household ever...Gone without enough food to eat               ","1=Yes
2=No",,
DL25_2,"DL25.2.In the last 6 months, has your household ever...Gone without fuel to cook food                  ","1=Yes
2=No",,
DL25_3,"DL25.3.In the last 6 months, has your household ever...Needed a doctor but delayed or did not go  ","1=Yes
2=No",,
DL25_4,"DL25.4.In the last 6 months, has your household ever...Needed a veterinarian or vet medicine but managed without it","1=Yes
2=No",,
DL25_5,"DL25.5.In the last 6 months, has your household ever...Needed fertilizer for the farm but went without because of a shortage of funds","1=Yes
2=No",,
DL25_6,"DL25.6.In the last 6 months, has your household ever...Needed stock for my business but couldn’t buy stock because of a shortage of funds; had to close down temporarily or completely","1=Yes
2=No",,
DL25_7,"DL25.7.In the last 6 months, has your household ever...Had a child sent home from school because of unpaid school fees","1=Yes
2=No",,
DL25_8,"DL25.8.In the last 6 months, has your household ever...Had to miss an important family event (funeral, wedding, etc.) because couldn’t pay for transportation","1=Yes
2=No",,
DL26_1,"DL26.1. Which of the following has happened in your household in the last 2 years? Flood, fire or other natural disaster destroys house/property/business","1=Yes
2=No",,
DL26_2,"DL26.2. Which of the following has happened in your household in the last 2 years? Theft, burglary or other man-caused loss of house/property/family land/business","1=Yes
2=No",,
DL26_3,DL26.3. Which of the following has happened in your household in the last 2 years? Bad weather or pests destroy all or part of crops or your livestock dies due to a disease,"1=Yes
2=No",,
DL26_4,"DL26.4. Which of the following has happened in your household in the last 2 years? Job loss, reduced income of main wage-earner","1=Yes
2=No",,
DL26_5,DL26.5. Which of the following has happened in your household in the last 2 years? Death of main income-earner,"1=Yes
2=No",,
DL26_6,"DL26.6. Which of the following has happened in your household in the last 2 years? Increase of costs of agricultural inputs, other additional expenses related to your farm/business","1=Yes
2=No",,
DL26_7,DL26.7. Which of the following has happened in your household in the last 2 years? Decrease in price of crop or livestock other goods you are selling,"1=Yes
2=No",,
DL26_8,"DL26.8. Which of the following has happened in your household in the last 2 years? Loss of cash, including savings","1=Yes
2=No",,
DL26_9,"DL26.9. Which of the following has happened in your household in the last 2 years? Major medical emergency or large medical expenses, including birth in the family","1=Yes
2=No",,
DL26_10,"DL26.10. Which of the following has happened in your household in the last 2 years? Divorce, family separation","1=Yes
2=No",,
DL26_12,DL26.12. Which of the following has happened in your household in the last 2 years?  None,"1=Yes
2=No",,
DL26_99,DL26.99. Which of the following has happened in your household in the last 2 years? DK,"1=Yes
2=No",,
DL27,DL27.Which of these events made the biggest impact on your household income in the last two years? ,"1=Flood, fire or other natural disaster destroys house/property/business
2=Theft, burglary or other man-caused loss of house/property/family land/business
3=Bad weather or pests destroy all or part of crops or your livestock dies due to a disease
4=Job loss, reduced income of main wage-earner
5=Death of main income-earner
6=Increase of costs of agricultural inputs, other additional expenses related to your farm/business
7=Decrease in price of crop or livestock other goods you are selling
8=Loss of cash, including savings
9=Major medical emergency or large medical expenses, including birth in the family
10=Divorce, family separation
12= None
99=DK",,
DL28,DL28.What was the main thing done to make ends meet when (RISK SELECTED IN DL27) happened to you or your household?,"1=Used up your savings
2=Borrowed money from Bank /Microfinance institution / Mobile money provider or mobile money product / any private money lending company
3=Borrowed money from Savings and/or lending group
4=Borrowed money from moneylender 
5=Got help from religious institutions 
6=Found a better job/additional jobs 
7=Sold your assets eg vehicles, business, household goods, livestock,land,jwellery
8=Cut back on expenses eg school fees, food 
9=Withdraw female child/children from school 
10=Withdraw male child/children from school 
11=Ask for help from friends, family, wellwishers  
12=Received assistance/aid from a government or a non-governmentorganisation
13=There was no need to do anything, it did not affect our finances too much
96=Other (Specify)
99=DK
16=Refused to answer ",,
G2P1_1,G2P1.1.Do you receive any of the following payments? Antyodaya Anna Yojana (AAY),"1=Yes
2=No",,
G2P1_2,G2P1.2.Do you receive any of the following payments? Fertilizer Subsidies ,"1=Yes
2=No",,
G2P1_3,G2P1.3.Do you receive any of the following payments? Dhanlakshmi scheme / Abaad Scheme,"1=Yes
2=No",,
G2P1_4,G2P1.4.Do you receive any of the following payments? Indira AwaasYojna (IAY) ,"1=Yes
2=No",,
G2P1_5,G2P1.5.Do you receive any of the following payments? Indira Gandhi MatritvaSahyogYojana (IGMSY),"1=Yes
2=No",,
G2P1_6,G2P1.6.Do you receive any of the following payments? JananiSurakshaYojana (JSY),"1=Yes
2=No",,
G2P1_7,G2P1.7.Do you receive any of the following payments? LPG / Cooking Gas subsidies,"1=Yes
2=No",,
G2P1_8,G2P1.8.Do you receive any of the following payments? MNREGA (Mahatma Gandhi National Rural Employment Guarantee Act)/NREGA/employment gurantee scheme ,"1=Yes
2=No",,
G2P1_9,"G2P1.9.Do you receive any of the following payments? Pension, old age","1=Yes
2=No",,
G2P1_10,"G2P1.10.Do you receive any of the following payments? Pension, disability","1=Yes
2=No",,
G2P1_11,"G2P1.11.Do you receive any of the following payments? Pension, widow","1=Yes
2=No",,
G2P1_12,"G2P1.12.Do you receive any of the following payments? Pension, unemployment ","1=Yes
2=No",,
G2P1_13,"G2P1.13.Do you receive any of the following payments? Scholarship programs for students (for students in SC, ST and OBC categories) ","1=Yes
2=No",,
G2P1_14,"G2P1.14.Do you receive any of the following payments? Skill development, coaching, vocational training stipends ","1=Yes
2=No",,
G2P1_15,G2P1.15.Do you receive any of the following payments? Laadli scheme      ,"1=Yes
2=No",,
G2P1_16,G2P1.16.Do you receive any of the following payments? MahamayaYojana ,"1=Yes
2=No",,
G2P1_96,G2P1.96.Do you receive any of the following payments? Other (Specify),"1=Yes
2=No",,
G2P1_99,G2P1.99.Do you receive any of the following payments? DK ,"1=Yes
2=No",,
G2P2_1,G2P2.1.How was the payment delivered?  Antyodaya Anna Yojana (AAY),"1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_2,G2P2.2.How was the payment delivered?  Fertilizer Subsidies ,"1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_3,G2P2.3.How was the payment delivered?  Dhanlakshmi scheme / Abaad Scheme,"1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_4,G2P2.4.How was the payment delivered?  Indira AwaasYojna (IAY) ,"1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_5,G2P2.5.How was the payment delivered?  Indira Gandhi MatritvaSahyogYojana (IGMSY),"1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_6,G2P2.6.How was the payment delivered?  JananiSurakshaYojana (JSY),"1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_7,G2P2.7.How was the payment delivered?  LPG / Cooking Gas subsidies,"1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_8,G2P2.8.How was the payment delivered?  MNREGA (Mahatma Gandhi National Rural Employment Guarantee Act)/NREGA/employment gurantee scheme ,"1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_9,"G2P2.9.How was the payment delivered?  Pension, old age","1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_10,"G2P2.10.How was the payment delivered?  Pension, disability","1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_11,"G2P2.11.How was the payment delivered?  Pension, widow","1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_12,"G2P2.12.How was the payment delivered?  Pension, unemployment ","1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_13,"G2P2.13.How was the payment delivered?  Scholarship programs for students (for students in SC, ST and OBC categories) ","1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_14,"G2P2.14.How was the payment delivered?  Skill development, coaching, vocational training stipends ","1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_15,G2P2.15.How was the payment delivered?  Laadli scheme      ,"1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_16,G2P2.16.How was the payment delivered?  MahamayaYojana ,"1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P2_17,G2P2.96.How was the payment delivered?  Other (Specify),"1=Direct deposit to a bank account from government or Direct Benefits transfer (DBT)
2=Personal pick-up by self (in cash) 
3=Courier delivery
4=Post office transfer 
5=Own mobile money account
6=Agent’s mobile money account
7=Other person’s mobile money account
8=Digital card (A rechargeable card that is not attached to a bank or MFI account) These are issued to a person by an organization (Government or non-Government) as a substitute for cash for any payment due
9=Western Union/ Money Gram
10=Door-to-door agents
11=Collected by someone else on your behalf (a friend or a relative)
12=Deposit into Microfinance account
96=Other (Specify)",,
G2P4_1,"G2P4.1.Was the payment received in full, i.e., the full amount minus any applicable transaction fees?Antyodaya Anna Yojana (AAY)","1=Yes
2=No",,
G2P4_2,"G2P4.2.Was the payment received in full, i.e., the full amount minus any applicable transaction fees?Fertilizer Subsidies ","1=Yes
2=No",,
